sample_name	strain_name	carbon_sour	bio_rep	Experiment	CFUs_mL
D31-D2_Sucr	DGS2	3_Sucrose	Bio1	coculture_DGS31	700000000
D31-D4_Sucr	DGS31	3_Sucrose	Bio1	coculture_DGS31	300000000
D31-D4_Sucr	DGS4	3_Sucrose	Bio1	coculture_DGS31	40000000
D31-D16_Sucr	DGS31	3_Sucrose	Bio1	coculture_DGS31	22000000
D31-D16_Sucr	DGS16	3_Sucrose	Bio1	coculture_DGS31	2900000000
D31-D2_Sucr	DGS31	3_Sucrose	Bio2	coculture_DGS31	400000000
D31-D2_Sucr	DGS2	3_Sucrose	Bio2	coculture_DGS31	300000000
D31-D4_Sucr	DGS31	3_Sucrose	Bio2	coculture_DGS31	140000000
D31-D4_Sucr	DGS4	3_Sucrose	Bio2	coculture_DGS31	100000000
D31-D16_Sucr	DGS31	3_Sucrose	Bio2	coculture_DGS31	39000000
D31-D16_Sucr	DGS16	3_Sucrose	Bio2	coculture_DGS31	4200000000
D31-D2_Sucr	DGS31	3_Sucrose	Bio3	coculture_DGS31	600000000
D31-D2_Sucr	DGS2	3_Sucrose	Bio3	coculture_DGS31	900000000
D31-D4_Sucr	DGS31	3_Sucrose	Bio3	coculture_DGS31	130000000
D31-D4_Sucr	DGS4	3_Sucrose	Bio3	coculture_DGS31	80000000
D31-D16_Sucr	DGS31	3_Sucrose	Bio3	coculture_DGS31	16000000
D31-D16_Sucr	DGS16	3_Sucrose	Bio3	coculture_DGS31	1300000000
D31-D2_Tre	DGS31	4_Trehalose	Bio1	coculture_DGS31	110000000
D31-D2_Tre	DGS2	4_Trehalose	Bio1	coculture_DGS31	170000000
D31-D4_Tre	DGS31	4_Trehalose	Bio1	coculture_DGS31	100000000
D31-D4_Tre	DGS4	4_Trehalose	Bio1	coculture_DGS31	70000000
D31-D16_Tre	DGS31	4_Trehalose	Bio1	coculture_DGS31	170000000
D31-D16_Tre	DGS16	4_Trehalose	Bio1	coculture_DGS31	200000000
D31-D2_Tre	DGS31	4_Trehalose	Bio2	coculture_DGS31	140000000
D31-D2_Tre	DGS2	4_Trehalose	Bio2	coculture_DGS31	110000000
D31-D4_Tre	DGS31	4_Trehalose	Bio2	coculture_DGS31	130000000
D31-D4_Tre	DGS4	4_Trehalose	Bio2	coculture_DGS31	100000000
D31-D16_Tre	DGS31	4_Trehalose	Bio2	coculture_DGS31	110000000
D31-D16_Tre	DGS16	4_Trehalose	Bio2	coculture_DGS31	140000000
D31-D2_Tre	DGS31	4_Trehalose	Bio3	coculture_DGS31	220000000
D31-D2_Tre	DGS2	4_Trehalose	Bio3	coculture_DGS31	90000000
D31-D4_Tre	DGS31	4_Trehalose	Bio3	coculture_DGS31	110000000
D31-D4_Tre	DGS4	4_Trehalose	Bio3	coculture_DGS31	40000000
